age,income,device_type
46,53909,android
32,52332,ios
23,45762,ios
60,54061,android
35,46455,web
35,52021,ios
34,65811,web
36,37921,web
33,63678,ios
29,65805,android
29,48583,ios
34,24537,android
29,42706,ios
27,65563,android
36,49725,ios
32,38008,android
50,43942,android
8,60087,android
45,56560,android
47,47132,ios
14,45598,ios
31,45298,ios
31,38931,android
20,69384,android
27,46132,android
23,64605,android
52,68255,web
44,61979,android
47,44820,android
42,54844,android
23,49709,android
29,39155,ios
39,53892,ios
22,35851,android
42,64252,android
32,44424,android
31,52413,android
42,53399,android
39,46893,web
31,57040,ios
46,44301,ios
24,60455,android
41,33848,android
40,51516,ios
31,73267,ios
38,37996,ios
22,41867,android
44,56166,ios
33,52154,android
29,54207,web
45,55870,ios
27,57616,ios
20,63316,android
19,54917,ios
41,47104,android
22,58070,android
52,72798,android
14,48408,ios
51,38305,android
37,63284,android
34,48555,web
29,23927,android
38,60169,ios
34,43576,android
46,48913,android
36,53983,ios
36,52285,android
31,58513,android
34,44774,ios
38,56157,ios
17,46885,ios
21,58865,android
42,57384,android
36,38774,ios
33,63031,ios
35,43568,web
38,59696,web
29,54407,web
27,72058,android
36,47318,android
25,45808,ios
39,49766,android
17,46361,android
45,59599,web
39,30604,web
37,37355,android
44,37186,android
51,61403,android
45,70527,web
16,48746,web
22,47974,android
28,50840,android
35,63942,web
40,38871,android
27,52860,ios
36,61702,web
27,56013,android
28,52274,ios
20,62012,android
25,17561,android
21,58134,web
25,42151,android
45,28032,web
25,56134,ios
61,66483,android
39,48350,android
36,61434,android
26,69347,android
42,65778,android
29,69679,android
36,58905,android
60,50905,ios
34,30776,ios
46,47047,ios
27,39881,android
34,76051,android
52,47889,ios
28,51478,android
53,56617,android
42,50523,web
29,70340,ios
41,42528,ios
44,52335,android
41,41090,ios
19,34159,ios
27,42658,ios
32,49555,ios
34,44848,web
41,41690,ios
36,33124,android
21,49002,ios
38,31943,ios
41,59120,ios
40,50989,android
45,32509,android
43,46289,web
39,40974,ios
34,53830,web
18,66085,ios
39,27497,ios
37,51380,ios
37,48078,web
22,58056,ios
24,52558,ios
45,40976,android
34,46171,android
41,40447,ios
35,62912,android
35,50255,android
44,72814,android
29,49272,android
35,41499,android
30,31835,android
30,28362,web
31,30990,ios
37,53205,android
30,56104,android
47,31025,ios
26,60740,android
33,44203,web
30,51761,ios
49,69346,ios
36,60762,android
45,46777,ios
20,39305,android
37,24178,web
43,41370,ios
35,47466,android
45,38153,android
29,48424,android
49,50922,ios
57,47301,android
31,42199,ios
30,52023,android
49,55303,ios
50,36915,web
29,66931,ios
30,48816,ios
32,50226,android
21,58498,android
25,52798,ios
24,61437,android
27,53445,android
34,42650,android
37,54338,android
50,36275,android
25,51302,web
44,49601,android
32,47502,ios
34,48457,android
41,27417,ios
23,43415,android
38,51114,web
36,51918,web
39,37667,android
37,65188,web
59,39605,web
28,61633,web
29,55126,web
28,42245,android
29,71303,ios
28,35676,android
46,61029,android
49,62006,web
29,41952,android
26,66709,ios
39,46999,web
29,53464,web
41,53123,web
37,48388,android
19,59729,android
50,59521,android
52,29017,android
28,65652,android
31,30050,android
37,62390,ios
38,63520,ios
41,36908,android
55,45070,ios
33,36731,android
27,47420,android
21,46303,ios
27,59355,ios
34,65723,ios
52,66748,android
29,43253,web
37,47489,ios
34,29798,ios
46,40329,ios
60,61578,web
29,69386,ios
30,35187,ios
45,42890,web
41,49683,ios
53,53361,android
40,40284,ios
31,55088,android
40,44313,android
46,49826,ios
43,56555,web
40,50077,web
45,44763,android
46,48684,ios
48,48939,android
41,45559,web
33,46894,web
36,69183,ios
47,56731,web
26,46454,ios
38,58363,ios
31,45994,android
35,64077,android
47,54435,ios
36,48712,ios
35,55372,android
21,31149,web
42,36478,android
41,35672,ios
56,51715,ios
31,70790,ios
37,76775,ios
37,57656,android
50,56010,android
34,28387,ios
37,43487,ios
41,40546,android
36,42549,ios
30,47982,android
36,44334,ios
45,26248,web
24,58974,android
36,37127,android
27,52870,ios
46,74888,ios
19,38967,ios
29,19636,web
38,46567,web
50,63211,web
34,73500,ios
29,35245,android
53,55960,android
20,44416,android
13,48728,ios
39,81732,android
29,31964,web
24,53044,ios
42,55612,ios
37,63029,android
29,51175,android
22,53696,android
43,45300,android
41,53229,android
34,45881,ios
53,57458,web
24,45564,web
19,54525,ios
28,49648,android
34,63512,web
37,49383,web
32,28723,android
38,65143,ios
22,39131,android
49,42154,web
34,42852,web
46,66493,android
38,24371,web
39,87652,ios
40,62672,web
39,52678,android
41,49341,web
48,53426,android
36,56253,android
42,57742,android
34,56667,web
49,51074,web
28,47631,web
53,48184,web
34,47661,android
20,63605,android
36,57122,android
28,14715,android
43,57870,android
28,52336,android
30,49775,android
16,45337,android
30,63489,android
10,61370,android
19,40725,web
42,54884,ios
42,38340,web
39,33444,android
25,42479,android
34,60348,ios
34,61437,android
23,56157,android
50,58701,android
43,56194,android
32,42302,android
35,55183,android
37,59604,ios
14,59051,android
32,64266,android
28,58499,web
24,54217,android
32,62841,android
52,49681,web
41,39417,android
29,48043,android
40,41061,android
