age,income,device_type
47,34006,ios
33,45806,android
46,40729,ios
59,54549,ios
45,64762,android
56,42836,ios
48,21316,ios
53,45053,android
38,60961,ios
50,56451,android
20,55138,ios
48,46640,android
33,34651,web
62,56183,ios
57,39988,ios
54,76209,ios
65,56846,web
40,43032,ios
67,42663,android
59,48884,ios
47,47125,ios
61,63402,ios
38,52236,ios
41,41220,ios
43,72685,ios
44,50591,web
39,59226,android
62,42701,ios
47,54357,ios
53,53733,ios
44,27324,ios
31,74183,android
52,65487,ios
30,45233,ios
49,36772,android
36,54170,ios
69,51040,android
59,54268,ios
51,52298,android
62,56074,ios
41,67367,ios
55,56817,ios
51,37404,ios
52,66350,ios
62,69687,android
57,87824,android
52,36518,ios
33,52914,android
40,25014,web
48,56637,ios
50,43421,ios
38,73081,web
74,40704,android
65,29729,ios
56,44344,ios
50,26294,ios
47,59013,web
40,25219,android
50,50341,ios
52,25066,ios
37,46156,ios
53,69720,android
48,54327,ios
30,39638,ios
41,49625,android
45,50216,ios
68,55671,ios
55,33597,ios
36,57110,ios
54,17547,android
34,42441,ios
60,44140,ios
45,57599,ios
49,50271,web
63,33133,ios
37,38180,android
36,52384,ios
44,49051,web
60,43050,ios
34,44229,ios
21,58354,ios
45,43787,ios
55,48942,android
62,76039,ios
45,32915,ios
45,27777,ios
61,59403,ios
31,41856,ios
46,46181,ios
51,40626,ios
54,46882,ios
44,69182,ios
50,59625,ios
25,60346,ios
43,33005,ios
54,36186,ios
40,15931,ios
50,40287,ios
54,61480,android
46,56203,android
51,47341,web
40,49732,ios
47,41733,ios
56,52457,ios
51,59190,android
44,30609,ios
52,53595,ios
57,61189,ios
29,45018,ios
61,58408,android
46,83775,android
54,48747,web
61,54719,ios
36,41143,ios
42,52175,android
47,55523,android
42,52338,ios
67,37763,ios
41,52476,ios
44,67546,android
52,55383,ios
37,61543,android
46,47155,android
53,58998,ios
46,53351,android
49,38589,android
44,53822,ios
34,38099,ios
53,42405,ios
67,52271,ios
50,53566,android
52,35729,android
56,62647,web
37,56864,ios
67,41543,ios
52,31548,android
66,48261,ios
42,44648,android
68,51357,ios
57,45642,web
55,25910,web
52,45339,ios
47,46332,ios
62,57603,web
51,41621,ios
30,70144,android
38,27060,ios
48,65734,android
53,47308,ios
49,60315,ios
62,50957,ios
30,63674,ios
51,45351,android
31,36816,ios
57,67046,ios
49,48638,ios
54,52658,ios
41,64817,web
62,37616,web
60,57145,android
55,42921,android
48,48413,ios
55,50867,ios
42,31997,web
58,40653,ios
66,66212,ios
60,60634,ios
42,49248,android
53,52917,android
37,46469,ios
55,66279,ios
54,47595,ios
31,52782,ios
38,63752,android
47,40671,ios
46,68705,android
37,31634,ios
53,69555,ios
52,45527,ios
48,47087,web
42,27319,android
60,44542,ios
66,37522,ios
45,42708,ios
43,48352,ios
54,61493,ios
46,52491,ios
48,53692,android
57,36853,ios
30,39430,android
63,71584,ios
50,41177,ios
45,69874,ios
49,47083,ios
49,50027,web
32,62844,android
64,65262,ios
50,48670,ios
54,45341,ios
59,49328,android
39,54055,ios
54,60695,ios
47,50050,web
58,57426,ios
28,69660,ios
49,54575,web
43,53739,ios
54,31773,android
54,18431,android
42,54660,ios
42,48862,android
48,43822,web
41,52922,ios
58,49275,android
46,63533,ios
20,51033,ios
46,41036,web
39,61881,ios
33,47394,ios
37,56318,ios
51,44271,ios
63,42202,ios
53,51010,android
43,50153,android
54,55757,ios
45,46776,android
43,27963,android
38,44806,ios
32,59525,android
46,46431,ios
51,47043,ios
49,61836,web
45,41456,ios
40,31486,android
56,48072,ios
36,44189,ios
57,38405,web
39,47895,ios
42,55898,ios
35,49888,web
44,53683,android
59,71760,ios
55,45885,ios
59,53340,android
55,43889,ios
38,39843,android
46,42981,ios
42,44254,web
63,54313,android
38,78188,ios
58,41407,android
58,45000,ios
68,49242,android
45,54749,web
57,53162,ios
72,65409,ios
43,20883,ios
34,21356,ios
31,44049,web
57,63167,ios
31,31212,web
46,13908,ios
54,56854,android
51,52923,ios
54,36917,android
52,38173,ios
62,38363,ios
40,51326,ios
43,42484,android
42,55928,android
58,15744,ios
59,39717,web
54,36487,ios
61,46923,ios
38,43543,ios
66,59574,ios
65,27687,android
57,50545,ios
67,56700,android
33,72279,web
44,44218,android
42,53893,ios
57,28353,android
39,21296,android
57,60137,ios
63,49933,android
56,64142,android
52,33519,ios
40,56238,android
41,72425,android
62,55036,ios
57,53318,ios
49,50102,web
45,31149,ios
29,66266,ios
39,42669,android
69,56053,ios
37,31243,ios
51,35846,ios
60,67221,ios
37,45832,android
51,67439,ios
59,49061,ios
50,27897,web
78,60704,android
33,42921,android
60,58384,android
48,50302,ios
57,31482,android
54,51971,android
42,76354,web
52,55915,android
31,49309,ios
56,62904,ios
52,52528,ios
56,52514,ios
60,36900,web
53,52806,web
51,62425,android
41,39967,android
42,67093,android
61,48899,ios
64,39346,ios
47,61971,ios
50,46558,ios
40,59114,android
61,46498,ios
56,49282,web
69,55922,android
41,53490,ios
46,26053,android
52,36545,ios
56,61152,ios
47,48414,android
41,43715,ios
58,33697,ios
57,37043,ios
40,25738,ios
63,48784,android
61,42818,ios
51,38400,ios
50,49182,ios
55,54367,android
41,75118,ios
50,31857,web
28,63912,android
58,61677,ios
34,40650,android
65,52438,ios
46,44508,android
47,52228,ios
43,68109,ios
47,57267,ios
64,56103,ios
25,44836,ios
62,32191,ios
53,47498,android
37,64479,android
39,31673,ios
66,37338,android
40,51515,ios
38,38184,web
61,40489,android
53,44916,ios
40,33612,ios
52,38310,ios
39,58441,web
61,34311,ios
60,30825,android
55,42439,ios
53,58783,ios
67,47636,ios
49,44425,android
38,50532,android
54,29051,ios
70,55936,ios
39,54601,ios
46,45088,ios
54,62071,ios
49,36470,ios
40,63534,android
61,51853,android
73,45961,android
51,49761,web
40,48712,ios
34,64643,ios
52,37079,ios
61,40849,ios
54,62435,ios
49,42853,ios
44,60806,android
39,70393,android
58,45178,ios
59,58176,web
34,36155,ios
65,59056,ios
55,52393,ios
63,55676,android
36,42253,android
36,30066,android
48,56039,ios
55,25239,android
67,46191,ios
57,61294,ios
47,52302,ios
39,73380,android
62,62301,ios
40,42153,ios
66,50327,ios
47,49431,ios
65,31013,android
56,38715,ios
48,43270,ios
44,25565,ios
46,50569,ios
54,47011,ios
50,29925,android
44,54850,ios
48,58590,ios
50,52724,ios
28,46111,ios
54,57097,web
40,58162,ios
38,53688,android
33,40104,ios
32,53319,ios
36,64345,ios
42,42840,ios
69,75175,ios
44,43692,android
51,50388,ios
54,41930,ios
51,52679,ios
49,29093,ios
38,43447,ios
64,36894,android
68,51624,ios
33,61933,ios
39,57752,android
47,21540,android
40,74504,ios
55,53543,android
42,40682,ios
71,51885,android
61,52114,android
52,41997,ios
60,52375,ios
61,42710,ios
44,45147,ios
41,41764,ios
50,32807,ios
58,51750,ios
51,57023,ios
34,56178,android
41,59839,android
49,53892,ios
49,43607,ios
69,60075,android
36,33709,android
55,39191,android
64,38429,ios
72,62960,ios
45,61313,android
54,55847,ios
55,62863,ios
51,39448,ios
49,54183,android
54,48497,ios
24,60162,ios
56,48617,ios
51,45380,android
47,56490,ios
70,60514,ios
43,41979,ios
45,49267,android
69,37298,ios
41,20023,android
44,52405,ios
48,57306,ios
58,53144,ios
52,26605,ios
37,45789,ios
44,23379,ios
43,66436,ios
49,36967,android
54,65064,ios
54,61350,ios
32,39192,ios
60,36406,ios
52,54204,ios
63,39868,ios
54,51229,web
61,44206,ios
54,28626,ios
63,23234,web
55,52720,android
49,43261,android
72,43362,ios
58,58350,ios
55,64081,ios
37,46729,ios
37,45912,android
52,56001,ios
51,33716,android
43,52677,android
51,56622,ios
65,58162,android
56,26758,ios
38,40863,ios
48,39460,ios
41,51198,android
46,55768,ios
45,67960,android
45,44060,web
37,44029,ios
48,63796,ios
44,53558,android
20,65211,web
70,53464,ios
60,36114,android
46,34002,ios
50,31381,web
38,57944,android
66,64263,android
68,72192,web
51,60117,android
60,63954,android
51,43039,ios
36,36123,ios
45,60200,ios
51,55012,web
45,51289,ios
47,54648,android
49,53878,web
49,65405,ios
50,65539,android
39,56530,ios
42,60149,ios
37,56168,android
59,44465,android
28,59078,ios
61,33266,ios
63,62646,ios
46,35665,web
23,53429,android
46,39858,android
49,56640,android
39,49592,android
44,30862,android
65,55048,ios
56,43064,web
40,60573,web
34,50015,android
46,54745,ios
47,38509,ios
54,42928,android
44,44496,ios
55,60280,ios
69,70128,android
58,40337,ios
49,62922,android
48,23963,ios
46,35669,ios
61,38494,web
43,33769,android
50,30996,ios
50,54955,ios
44,47431,ios
36,54552,ios
53,58285,ios
49,53187,ios
55,57893,web
44,49165,ios
62,35756,ios
41,62693,ios
67,42930,ios
32,38772,ios
54,47864,ios
54,39046,ios
42,44990,ios
54,54128,android
62,54180,web
27,39226,ios
55,44147,android
25,62891,ios
40,55956,android
66,74900,android
44,64161,android
38,63731,ios
48,33345,ios
70,59166,ios
31,49362,ios
39,43388,ios
64,52016,ios
68,61342,ios
48,56009,ios
37,39458,android
70,58909,android
65,42348,ios
56,52600,ios
41,46359,android
49,47373,android
48,59194,web
53,37517,ios
64,73342,ios
58,28146,ios
39,42827,ios
63,54442,web
53,57011,web
56,48794,android
64,49311,ios
38,54926,android
49,47227,android
44,66718,ios
34,60072,ios
53,60473,web
75,38406,android
31,49047,ios
49,46394,web
56,37932,web
51,54321,android
48,43548,ios
37,57864,ios
52,37157,android
42,70628,web
28,39244,web
61,52631,android
59,59502,android
50,43152,android
52,60229,web
60,35249,android
52,67425,ios
59,50169,ios
47,42843,ios
63,46409,android
53,59707,android
51,42986,web
37,41007,web
52,47341,ios
41,35876,android
43,71846,ios
41,43203,ios
39,59979,android
71,52513,web
63,38185,ios
69,49928,android
37,59408,web
50,47740,web
37,64317,android
43,62258,ios
40,61026,ios
62,44484,ios
46,37041,android
60,42636,ios
56,52354,web
73,56549,ios
35,23941,android
62,49902,ios
61,51897,ios
40,46669,ios
60,65495,ios
53,55061,android
47,65722,android
41,47408,ios
42,61249,android
70,69620,ios
50,65740,android
57,36894,ios
42,46955,ios
42,45858,web
60,55871,web
36,58236,android
45,39933,ios
50,50814,android
51,25760,ios
48,67303,ios
53,43851,web
56,50670,web
57,46284,ios
40,63752,ios
47,15949,ios
61,49800,ios
58,48730,android
36,44556,ios
53,70714,ios
30,39352,android
50,59261,android
68,54275,android
40,65138,ios
41,41993,android
57,41204,android
34,63152,android
43,55103,ios
55,31460,ios
43,43528,ios
47,54636,ios
57,60053,web
54,41849,android
52,15028,android
46,56278,android
53,35356,android
48,25791,ios
54,16012,web
45,59767,ios
48,51543,ios
40,47292,web
49,66668,android
41,57647,android
38,69395,ios
52,33287,ios
52,49585,android
57,30599,ios
45,47247,ios
54,47016,ios
55,57519,ios
54,50546,ios
41,57480,android
51,58441,ios
53,75859,android
50,46216,web
29,38707,ios
51,52953,ios
72,40372,ios
46,67783,ios
42,46601,ios
53,43213,ios
53,44344,ios
61,58621,ios
37,48107,android
57,42299,ios
55,69984,ios
48,39725,android
53,50426,android
60,57827,ios
58,30423,android
38,55763,ios
58,37338,ios
49,59873,ios
50,38448,android
50,58313,ios
48,63269,ios
61,60337,ios
49,53015,ios
38,47224,ios
46,43082,web
51,67652,ios
62,41606,ios
56,37555,web
41,57984,ios
74,40446,android
52,38599,android
62,32676,ios
48,44205,ios
55,49007,ios
58,52917,ios
62,61415,android
60,56322,ios
58,47709,android
46,47621,ios
44,56121,ios
53,65270,ios
59,51515,ios
47,44370,ios
60,38085,ios
64,32657,android
40,57995,android
41,56935,ios
48,56928,web
53,48456,ios
44,66883,ios
63,44190,ios
54,61463,ios
50,49535,ios
35,42699,android
36,57110,android
52,54915,web
28,54283,android
60,50975,android
48,49545,android
82,78660,web
73,64211,ios
48,58673,ios
48,51341,web
59,62085,ios
67,56215,ios
33,50314,android
32,46357,android
43,49028,ios
55,11954,ios
54,52527,ios
60,44138,ios
38,69112,ios
26,50232,android
58,35732,android
41,49401,android
29,37446,android
51,55680,ios
57,53491,android
48,61494,android
45,40509,ios
48,50408,ios
46,33619,android
36,58417,android
42,56226,ios
55,55949,ios
53,50019,ios
51,54977,ios
40,69252,web
48,46578,ios
28,51663,ios
51,36966,ios
64,39580,android
35,51173,web
44,63247,ios
53,46924,android
62,47169,ios
45,45117,android
43,43582,ios
30,53539,ios
51,32032,ios
70,65371,ios
52,42014,android
49,58662,ios
53,34760,ios
49,58026,ios
41,58063,ios
58,54610,ios
52,38066,ios
50,52994,android
40,35803,web
63,46966,ios
56,62352,ios
44,59560,android
60,50182,android
45,38302,ios
42,57747,ios
42,50232,ios
32,22156,web
54,59391,ios
31,49709,ios
37,64429,android
29,36856,ios
49,11879,android
48,53349,ios
46,53498,web
39,29711,web
38,38258,ios
54,83062,ios
44,46332,ios
53,58771,android
41,42192,ios
51,24916,android
63,47956,ios
55,46812,android
45,45201,android
52,48624,ios
47,53171,ios
50,48198,ios
46,34831,android
